id,full_address,street,city,province,postal_code,country,latitude,longitude,address_type,notes,created_at
12,"Gg. Ahmad Yani No. 69
Tebingtinggi, Nusa Tenggara Barat 23036",Jalan Ciumbuleuit No. 21,Badung,Bali,63894,Indonesia,-2.119880659359609,135.73884336404348,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
13,"Jl. Rajiman No. 1
Makassar, KB 59483",Gg. Rajawali Timur No. 68,Balikpapan,Kalimantan Timur,47187,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
14,"Jalan Yos Sudarso No. 70
Lhokseumawe, SU 86822",Jl. Pacuan Kuda No. 22,Parepare,Sulawesi Selatan,80917,Indonesia,2.57915696864133,138.151918741021,Registered Office,,2026-01-15 14:25:14.553633+00
15,"Jalan R.E Martadinata No. 472
Jayapura, SG 11011",Gg. Laswi No. 75,Pematang Siantar,Sumatera Utara,32935,Indonesia,,132.66609757936303,Pabrik,,2026-01-15 14:25:14.553633+00
16,"Jalan Pelajar Pejuang No. 511
Tebingtinggi, KR 52979",Jalan Ahmad Dahlan No. 29,Balikpapan,Kalimantan Timur,80868,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
17,"Jl. Pasirkoja No. 329
Pagaralam, Sumatera Utara 30036",Gang Suryakencana No. 73,Palembang,Sumatera Selatan,48925,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
18,"Jl. Wonoayu No. 0
Bengkulu, ST 63647",Gg. Jayawijaya No. 452,Semarang,Jawa Tengah,88226,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
19,"Jalan Rungkut Industri No. 417
Banjarbaru, DI Yogyakarta 05513",Jalan Pasirkoja No. 98,Makassar,Sulawesi Selatan,62279,Indonesia,-6.182936698479934,,Registered Office,,2026-01-15 14:25:14.553633+00
20,"Gg. KH Amin Jasuta No. 083
Cirebon, SB 66444",Gg. S. Parman No. 48,Bantul,Yogyakarta,14049,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
21,"Gang Rungkut Industri No. 14
Kota Administrasi Jakarta Timur, Nusa Tenggara Barat 09130",Jalan Indragiri No. 7,Lubuklinggau,Sumatera Selatan,07875,Indonesia,-4.9971263533726535,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
22,"Jalan Ciumbuleuit No. 899
Meulaboh, JA 11031",Jalan Sentot Alibasa No. 440,Lubuklinggau,Sumatera Selatan,77731,Indonesia,,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
23,"Jalan Veteran No. 5
Serang, Kalimantan Utara 88872",Gang Kutai No. 6,Pekalongan,Jawa Tengah,88023,Indonesia,-3.1215858999403956,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
24,"Jl. Jend. Sudirman No. 1
Tanjungpinang, JK 95737",Gg. Gedebage Selatan No. 446,Jakarta Timur,DKI Jakarta,56602,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
25,"Jl. Rumah Sakit No. 1
Pagaralam, JA 99245",Gang Rajawali Timur No. 0,Jakarta Barat,DKI Jakarta,31198,Indonesia,,99.15252002615861,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
26,"Jalan Lembong No. 35
Salatiga, PB 43660",Gang Peta No. 5,Jakarta Selatan,DKI Jakarta,55351,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
27,"Jalan Stasiun Wonokromo No. 921
Singkawang, BB 63203",Gg. Dipenogoro No. 939,Dumai,Riau,63032,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
28,"Gg. BKR No. 49
Banjarmasin, BE 94913",Jalan Cihampelas No. 448,Medan,Sumatera Utara,60861,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
29,"Jl. Waringin No. 1
Ternate, RI 04253",Gang Yos Sudarso No. 39,Serang,Banten,74229,Indonesia,-7.9898147608342835,137.04707255087638,Gudang,,2026-01-15 14:25:14.553633+00
30,"Jl. Rungkut Industri No. 773
Prabumulih, Sulawesi Tenggara 71011",Gang Cikapayang No. 948,Solo,Jawa Tengah,52599,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
31,"Gg. Ahmad Dahlan No. 52
Mojokerto, Gorontalo 22797",Gg. Yos Sudarso No. 3,Prabumulih,Sumatera Selatan,18203,Indonesia,5.315172528395674,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
32,"Jl. Ahmad Dahlan No. 17
Bima, JK 14560",Gg. Monginsidi No. 05,Balikpapan,Kalimantan Timur,66101,Indonesia,-5.349675536488166,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
33,"Gg. Erlangga No. 90
Tarakan, Jawa Tengah 92473",Jalan HOS. Cokroaminoto No. 402,Denpasar,Bali,17825,Indonesia,2.013552332670308,113.62028946448348,Kantor Pusat,,2026-01-15 14:25:14.553633+00
34,"Gg. Rungkut Industri No. 800
Tebingtinggi, Nusa Tenggara Timur 54350",Gang KH Amin Jasuta No. 388,Pematang Siantar,Sumatera Utara,64618,Indonesia,-8.019240492269278,130.62781478029225,Gudang,,2026-01-15 14:25:14.553633+00
35,"Jl. Rajawali Barat No. 69
Tegal, JK 83951",Jalan PHH. Mustofa No. 7,Jakarta Timur,DKI Jakarta,12725,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
36,"Jalan Rajiman No. 3
Bau-Bau, NB 96821",Gang KH Amin Jasuta No. 8,Tangerang,Banten,92966,Indonesia,2.599463419407323,130.7804046051943,Showroom,,2026-01-15 14:25:14.553633+00
37,"Jl. Laswi No. 601
Lubuklinggau, BA 18665",Jalan Rajawali Timur No. 4,Denpasar,Bali,45117,Indonesia,-4.046735770431225,135.39383010527428,Gudang,,2026-01-15 14:25:14.553633+00
38,"Jl. BKR No. 999
Kupang, JA 26310",Jalan Pasirkoja No. 27,Makassar,Sulawesi Selatan,66902,Indonesia,-0.049295854778879544,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
39,"Gg. Medokan Ayu No. 80
Padang Sidempuan, JK 21178",Gg. Rumah Sakit No. 44,Prabumulih,Sumatera Selatan,33808,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
40,"Jl. H.J Maemunah No. 15
Kotamobagu, Aceh 82627",Gg. Veteran No. 993,Jakarta Timur,DKI Jakarta,86997,Indonesia,4.321004656680438,119.17133305204469,Kantor Cabang,,2026-01-15 14:25:14.553633+00
41,"Jl. Rajiman No. 6
Meulaboh, SS 99335",Jl. Jend. Sudirman No. 775,Bekasi,Jawa Barat,02881,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
42,"Jalan Rumah Sakit No. 43
Tanjungbalai, MA 88544",Jl. Suniaraja No. 05,Samarinda,Kalimantan Timur,96035,Indonesia,-6.081774690753553,,Showroom,,2026-01-15 14:25:14.553633+00
43,"Jalan Surapati No. 266
Gorontalo, SG 52852",Gg. Asia Afrika No. 77,Palopo,Sulawesi Selatan,54665,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
44,"Gg. Setiabudhi No. 1
Singkawang, YO 81504",Jl. Abdul Muis No. 14,Malang,Jawa Timur,51728,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
45,"Jalan Cihampelas No. 905
Kota Administrasi Jakarta Barat, Sulawesi Barat 32169",Jl. Jakarta No. 2,Samarinda,Kalimantan Timur,56739,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
46,"Jalan Dr. Djunjunan No. 28
Bekasi, Nusa Tenggara Barat 76702",Gg. Rajiman No. 0,Bekasi,Jawa Barat,13961,Indonesia,,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
47,"Jalan HOS. Cokroaminoto No. 5
Prabumulih, Papua Barat 58050",Gg. Kapten Muslihat No. 452,Cilegon,Banten,61335,Indonesia,,139.96316138156624,Showroom,,2026-01-15 14:25:14.553633+00
48,"Jalan HOS. Cokroaminoto No. 40
Kota Administrasi Jakarta Utara, KR 69819",Jalan BKR No. 0,Semarang,Jawa Tengah,74119,Indonesia,-7.561050414795197,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
49,"Gang Sukajadi No. 498
Bengkulu, Nusa Tenggara Timur 79067",Gang Jayawijaya No. 27,Parepare,Sulawesi Selatan,22347,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
50,"Gang Astana Anyar No. 326
Palangkaraya, MU 57790",Jalan KH Amin Jasuta No. 215,Pekanbaru,Riau,11525,Indonesia,,137.25653432998678,Kantor Cabang,,2026-01-15 14:25:14.553633+00
51,"Jalan Medokan Ayu No. 572
Kupang, GO 13608",Gang KH Amin Jasuta No. 317,Lubuklinggau,Sumatera Selatan,78365,Indonesia,,102.06938854459608,Kantor Cabang,,2026-01-15 14:25:14.553633+00
52,"Gang Moch. Toha No. 67
Jayapura, ST 13902",Gang Medokan Ayu No. 35,Semarang,Jawa Tengah,91222,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
53,"Jl. Gardujati No. 01
Tual, Lampung 45754",Gang Pelajar Pejuang No. 6,Lubuklinggau,Sumatera Selatan,25897,Indonesia,,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
54,"Gang Indragiri No. 92
Parepare, Sulawesi Tengah 48436",Jalan Dipatiukur No. 87,Bengkalis,Riau,71137,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
55,"Gg. Siliwangi No. 79
Ternate, SU 44958",Gang Pasir Koja No. 941,Tangerang Selatan,Banten,03985,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
56,"Gang Dr. Djunjunan No. 9
Metro, Maluku 57151",Jl. R.E Martadinata No. 471,Tangerang,Banten,09577,Indonesia,-7.897164574797896,115.85058458046124,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
57,"Gg. Moch. Ramdan No. 93
Tanjungbalai, PA 75888",Jl. Rawamangun No. 815,Pekalongan,Jawa Tengah,92068,Indonesia,,129.56659064108175,Registered Office,,2026-01-15 14:25:14.553633+00
58,"Gang Ahmad Yani No. 043
Padangpanjang, Banten 90109",Gg. Rajawali Timur No. 715,Gresik,Jawa Timur,87349,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
59,"Jalan Jend. A. Yani No. 47
Surakarta, BE 93687",Gang Merdeka No. 054,Kediri,Jawa Timur,19718,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
60,"Jalan Ir. H. Djuanda No. 59
Tomohon, Maluku Utara 01466",Gg. Gegerkalong Hilir No. 1,Bogor,Jawa Barat,65357,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
61,"Jl. Yos Sudarso No. 115
Tanjungpinang, JI 80812",Gang Tubagus Ismail No. 37,Pekanbaru,Riau,99203,Indonesia,,128.35873602616357,Kantor Cabang,,2026-01-15 14:25:14.553633+00
62,"Jalan Pasirkoja No. 259
Denpasar, Kepulauan Bangka Belitung 01947",Gg. Raya Ujungberung No. 91,Salatiga,Jawa Tengah,13953,Indonesia,-4.147115077240754,,Registered Office,,2026-01-15 14:25:14.553633+00
63,"Gg. Gegerkalong Hilir No. 0
Tomohon, Kalimantan Barat 97231",Jalan S. Parman No. 024,Denpasar,Bali,62368,Indonesia,-2.566392715304848,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
64,"Jalan Jamika No. 47
Kupang, Kalimantan Barat 24008",Jalan Tebet Barat Dalam No. 798,Bengkalis,Riau,89420,Indonesia,,107.15026749563285,Gudang,,2026-01-15 14:25:14.553633+00
65,"Jalan Ciumbuleuit No. 566
Balikpapan, Riau 72779",Gg. Lembong No. 12,Badung,Bali,89813,Indonesia,,135.81660621940546,Gudang,,2026-01-15 14:25:14.553633+00
66,"Jl. Siliwangi No. 507
Tomohon, Kalimantan Timur 34516",Gang Wonoayu No. 9,Palopo,Sulawesi Selatan,36162,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
67,"Jl. Veteran No. 0
Mojokerto, KR 83792",Gang Rungkut Industri No. 443,Yogyakarta,Yogyakarta,09022,Indonesia,4.331019006541018,,Registered Office,,2026-01-15 14:25:14.553633+00
68,"Jalan Dr. Djunjunan No. 689
Pontianak, KT 88798",Gang Wonoayu No. 9,Lubuklinggau,Sumatera Selatan,85514,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
69,"Jalan Kutai No. 54
Bitung, GO 90212",Jl. Cikutra Barat No. 14,Malang,Jawa Timur,10563,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
70,"Jalan Lembong No. 82
Subulussalam, SU 57405",Jalan Pasteur No. 6,Binjai,Sumatera Utara,61242,Indonesia,,140.41404696275856,Registered Office,,2026-01-15 14:25:14.553633+00
71,"Gang H.J Maemunah No. 42
Metro, PA 11117",Gg. M.T Haryono No. 418,Pematang Siantar,Sumatera Utara,40431,Indonesia,2.0873847894093576,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
72,"Jl. Monginsidi No. 06
Semarang, Kepulauan Riau 75879",Jalan Ir. H. Djuanda No. 822,Pekanbaru,Riau,56629,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
73,"Gang Kapten Muslihat No. 647
Kota Administrasi Jakarta Pusat, NB 90080",Jl. Kapten Muslihat No. 982,Badung,Bali,24702,Indonesia,-7.07954711810346,132.37789559236228,Pabrik,,2026-01-15 14:25:14.553633+00
74,"Jl. Stasiun Wonokromo No. 5
Metro, Sulawesi Barat 08798",Jl. Moch. Toha No. 1,Medan,Sumatera Utara,26479,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
75,"Jl. Suniaraja No. 97
Pagaralam, Kepulauan Bangka Belitung 47438",Jl. Pacuan Kuda No. 9,Tangerang,Banten,23303,Indonesia,-7.52925172364661,,Registered Office,,2026-01-15 14:25:14.553633+00
76,"Jl. Dipenogoro No. 1
Palu, Maluku 54640",Jalan PHH. Mustofa No. 2,Depok,Jawa Barat,76040,Indonesia,2.719824222804231,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
77,"Gang Veteran No. 946
Batam, Lampung 30491",Gang Cihampelas No. 54,Makassar,Sulawesi Selatan,69814,Indonesia,3.8686934484287328,,Gudang,,2026-01-15 14:25:14.553633+00
78,"Gg. Waringin No. 254
Meulaboh, SG 64019",Gang Setiabudhi No. 7,Pekanbaru,Riau,52562,Indonesia,-1.252677372028435,,Gudang,,2026-01-15 14:25:14.553633+00
79,"Jl. Monginsidi No. 128
Kota Administrasi Jakarta Timur, KB 79758",Jl. Cikapayang No. 18,Yogyakarta,Yogyakarta,25650,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
80,"Gang Dipenogoro No. 58
Padang Sidempuan, KS 32200",Gang Rawamangun No. 308,Palembang,Sumatera Selatan,83616,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
81,"Jl. Antapani Lama No. 421
Meulaboh, KR 14345",Jalan Raya Setiabudhi No. 630,Pematang Siantar,Sumatera Utara,99266,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
82,"Gg. Yos Sudarso No. 0
Kota Administrasi Jakarta Barat, JB 30609",Gg. Rajiman No. 773,Serang,Banten,97278,Indonesia,,121.21312143213544,Showroom,,2026-01-15 14:25:14.553633+00
83,"Gg. Sadang Serang No. 71
Solok, KR 74647",Jl. Ahmad Dahlan No. 060,Badung,Bali,20994,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
84,"Gg. Ronggowarsito No. 27
Kendari, Papua 12355",Gg. Cihampelas No. 8,Jakarta Utara,DKI Jakarta,44171,Indonesia,,119.21634630625127,Pabrik,,2026-01-15 14:25:14.553633+00
85,"Jl. Pelajar Pejuang No. 43
Sibolga, SU 93536",Gang Dr. Djunjunan No. 363,Gresik,Jawa Timur,02058,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
86,"Gg. Ciwastra No. 975
Subulussalam, Papua 43196",Jalan Sentot Alibasa No. 5,Bekasi,Jawa Barat,49776,Indonesia,4.74272753739568,,Pabrik,,2026-01-15 14:25:14.553633+00
87,"Gang Lembong No. 36
Jayapura, Sulawesi Selatan 59774",Gang H.J Maemunah No. 46,Dumai,Riau,08335,Indonesia,,100.09637797076236,Kantor Pusat,,2026-01-15 14:25:14.553633+00
88,"Gg. Rumah Sakit No. 15
Parepare, Papua 44633",Gg. Rungkut Industri No. 354,Jakarta Selatan,DKI Jakarta,68489,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
89,"Gg. Kutai No. 3
Pariaman, MU 32679",Gg. Asia Afrika No. 62,Sleman,Yogyakarta,89111,Indonesia,,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
90,"Jalan M.H Thamrin No. 534
Pariaman, BB 58714",Gang Dr. Djunjunan No. 94,Denpasar,Bali,95454,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
91,"Gang Asia Afrika No. 825
Tangerang, Kalimantan Utara 30246",Gg. Siliwangi No. 4,Denpasar,Bali,16101,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
92,"Gang Sentot Alibasa No. 243
Jambi, JB 33748",Jalan Soekarno Hatta No. 664,Jakarta Selatan,DKI Jakarta,75156,Indonesia,,121.04697527408659,Kantor Cabang,,2026-01-15 14:25:14.553633+00
93,"Gang BKR No. 2
Pontianak, SB 21448",Gang Bangka Raya No. 49,Cilegon,Banten,81762,Indonesia,-2.123964526813432,,Showroom,,2026-01-15 14:25:14.553633+00
94,"Jalan Indragiri No. 2
Banjarmasin, PB 91554",Jalan Rawamangun No. 158,Bengkalis,Riau,70061,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
95,"Jl. Gardujati No. 202
Surakarta, SB 54020",Gg. Jamika No. 9,Semarang,Jawa Tengah,13580,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
96,"Gang Suniaraja No. 5
Sukabumi, SU 74967",Jl. Raya Setiabudhi No. 059,Prabumulih,Sumatera Selatan,43891,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
97,"Jl. Gedebage Selatan No. 2
Batam, BE 66845",Jalan Antapani Lama No. 714,Lubuklinggau,Sumatera Selatan,79266,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
98,"Gg. Dr. Djunjunan No. 614
Purwokerto, Sulawesi Tengah 65204",Gg. Tubagus Ismail No. 88,Jakarta Utara,DKI Jakarta,98744,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
99,"Gg. KH Amin Jasuta No. 759
Kotamobagu, KB 35835",Jl. R.E Martadinata No. 340,Palembang,Sumatera Selatan,96607,Indonesia,-3.341531279917759,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
100,"Jalan HOS. Cokroaminoto No. 395
Bengkulu, SU 87132",Jl. Stasiun Wonokromo No. 76,Palopo,Sulawesi Selatan,86510,Indonesia,,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
101,"Gang Otto Iskandardinata No. 3
Bitung, Jawa Timur 97601",Gg. Moch. Ramdan No. 395,Tangerang,Banten,11963,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
102,"Gg. Rajawali Timur No. 075
Denpasar, Lampung 08236",Jalan Jend. Sudirman No. 168,Pekalongan,Jawa Tengah,62721,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
103,"Jl. Veteran No. 947
Pariaman, DKI Jakarta 44426",Gang Dr. Djunjunan No. 37,Parepare,Sulawesi Selatan,84098,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
104,"Gg. Kiaracondong No. 163
Pagaralam, BB 43357",Jl. Rajiman No. 59,Bengkalis,Riau,01154,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
105,"Jl. Kebonjati No. 51
Sungai Penuh, Sulawesi Utara 30527",Jl. Ir. H. Djuanda No. 7,Jakarta Pusat,DKI Jakarta,33448,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
106,"Gg. Sentot Alibasa No. 74
Batam, Banten 24363",Jl. Laswi No. 9,Denpasar,Bali,19507,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
107,"Gg. Raya Ujungberung No. 54
Palembang, NB 34654",Gg. Astana Anyar No. 4,Dumai,Riau,51548,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
108,"Jl. Jayawijaya No. 246
Gorontalo, NB 24207",Jl. Abdul Muis No. 565,Jakarta Barat,DKI Jakarta,03377,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
109,"Jl. Cihampelas No. 854
Kotamobagu, NB 43037",Jl. Soekarno Hatta No. 287,Bengkalis,Riau,38802,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
110,"Gg. Antapani Lama No. 547
Jambi, RI 66477",Jl. Kapten Muslihat No. 23,Dumai,Riau,03016,Indonesia,1.3992323486033538,99.99633160457978,Kantor Cabang,,2026-01-15 14:25:14.553633+00
111,"Jl. H.J Maemunah No. 78
Pangkalpinang, Sumatera Selatan 76576",Gang Dr. Djunjunan No. 0,Gianyar,Bali,81130,Indonesia,-7.5026710322699435,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
112,"Jl. Medokan Ayu No. 524
Balikpapan, Jawa Barat 76899",Jalan Rajawali Timur No. 42,Jakarta Utara,DKI Jakarta,04665,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
113,"Gg. Stasiun Wonokromo No. 44
Tebingtinggi, Kalimantan Selatan 53946",Gg. Merdeka No. 865,Dumai,Riau,07813,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
114,"Gang PHH. Mustofa No. 55
Binjai, Papua 42767",Jl. Setiabudhi No. 6,Badung,Bali,01156,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
115,"Gg. Sadang Serang No. 98
Balikpapan, Jawa Tengah 08082",Gang Astana Anyar No. 77,Sleman,Yogyakarta,61408,Indonesia,,,Gudang,,2026-01-15 14:25:14.553633+00
116,"Gg. Laswi No. 03
Bontang, Sulawesi Barat 71847",Jl. Asia Afrika No. 85,Samarinda,Kalimantan Timur,48847,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
117,"Jl. Pasirkoja No. 33
Tarakan, SS 49271",Gang Soekarno Hatta No. 5,Tangerang,Banten,19992,Indonesia,-7.41983829966222,102.73119665578685,Kantor Cabang,,2026-01-15 14:25:14.553633+00
118,"Jalan Asia Afrika No. 733
Tomohon, Jambi 72822",Jalan Monginsidi No. 91,Bengkalis,Riau,46306,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
119,"Gg. Moch. Ramdan No. 6
Sukabumi, SS 05962",Jalan Soekarno Hatta No. 414,Kediri,Jawa Timur,62449,Indonesia,-3.4721922940930927,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
120,"Jl. Antapani Lama No. 301
Dumai, Kalimantan Tengah 51105",Gang Gegerkalong Hilir No. 29,Jakarta Timur,DKI Jakarta,88425,Indonesia,,,Pabrik,,2026-01-15 14:25:14.553633+00
121,"Jl. Tubagus Ismail No. 40
Kediri, Jawa Timur 93299",Jalan Gardujati No. 8,Karawang,Jawa Barat,27199,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
122,"Jalan Ronggowarsito No. 443
Prabumulih, DKI Jakarta 50917",Jalan Pelajar Pejuang No. 14,Parepare,Sulawesi Selatan,36288,Indonesia,,,Showroom,,2026-01-15 14:25:14.553633+00
123,"Jalan Laswi No. 5
Denpasar, DI Yogyakarta 40961",Jl. Rumah Sakit No. 158,Pekanbaru,Riau,71359,Indonesia,2.349015665893928,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
124,"Gang K.H. Wahid Hasyim No. 2
Meulaboh, Maluku Utara 27075",Gang Medokan Ayu No. 83,Jakarta Utara,DKI Jakarta,16571,Indonesia,,131.33705580941535,Showroom,,2026-01-15 14:25:14.553633+00
125,"Jl. M.T Haryono No. 8
Bitung, Gorontalo 51966",Jl. Sukajadi No. 457,Bogor,Jawa Barat,31595,Indonesia,-5.915437356770676,,Registered Office,,2026-01-15 14:25:14.553633+00
126,"Gg. Rawamangun No. 49
Padang Sidempuan, SS 18280",Jl. Pelajar Pejuang No. 08,Bengkalis,Riau,71720,Indonesia,,106.9228189476149,Kantor Pusat,,2026-01-15 14:25:14.553633+00
127,"Gang Sukajadi No. 503
Lubuklinggau, Jawa Barat 80366",Gang Cihampelas No. 8,Malang,Jawa Timur,46939,Indonesia,-6.946270534396241,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
128,"Gang Ahmad Dahlan No. 3
Purwokerto, Bengkulu 62877",Jalan Erlangga No. 6,Bengkalis,Riau,28561,Indonesia,,96.89593179281626,Gudang,,2026-01-15 14:25:14.553633+00
129,"Jl. Dr. Djunjunan No. 724
Tarakan, Bengkulu 32425",Jalan M.H Thamrin No. 89,Tangerang Selatan,Banten,61123,Indonesia,-1.0362227172375453,,Registered Office,,2026-01-15 14:25:14.553633+00
130,"Jalan Indragiri No. 3
Cilegon, YO 07662",Gg. Siliwangi No. 0,Bontang,Kalimantan Timur,96863,Indonesia,,,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
