id,npwp_masked,name,entity_type,address,status,extra_metadata,created_at
17,26.000.***.***-***.100,PT Tbk Gemilang Makmur,UD,"Jalan Dipatiukur No. 7
Sabang, SU 33511",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
18,27.000.***.***-***.100,Firma Global Merak Garuda,PT,"Jl. Cihampelas No. 68
Dumai, Maluku 56588",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
19,28.000.***.***-***.100,PD Lestari Pusaka,CV,"Gang Otto Iskandardinata No. 563
Padang, Nusa Tenggara Timur 01207",Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
20,29.000.***.***-***.100,PD Intan Indo Sentosa,CV,"Jl. Siliwangi No. 0
Kotamobagu, JI 91487",Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
21,30.000.***.***-***.100,Koperasi Intan Gemilang Garuda,Firma,"Jalan Dipenogoro No. 35
Tasikmalaya, Kalimantan Selatan 32459",Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
22,31.000.***.***-***.100,PT Tbk Global Mitra Utama,CV,"Gg. Bangka Raya No. 1
Parepare, SU 91231",Aktif,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
23,32.000.***.***-***.100,Perum Bersama Sentosa,PT Tbk,"Gang Rawamangun No. 1
Payakumbuh, Banten 25351",Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
24,33.000.***.***-***.100,Koperasi Buana Karya,CV,"Gang Cikapayang No. 416
Pekanbaru, KR 15022",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
25,34.000.***.***-***.100,PD Makmur Merak Lestari,CV,"Gang Asia Afrika No. 783
Kediri, BA 60206",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
26,35.000.***.***-***.100,PT Tbk Merak Nusantara Elang,PT,"Jalan Ahmad Yani No. 34
Langsa, Papua 76336",Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
27,36.000.***.***-***.100,Koperasi Garuda Jaya Buana,UD,"Jalan Ahmad Dahlan No. 9
Salatiga, Sulawesi Barat 18870",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
28,37.000.***.***-***.100,PD Berlian Elang,CV,"Jl. R.E Martadinata No. 9
Bogor, Kalimantan Barat 02482",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
29,38.000.***.***-***.100,Koperasi Berkah Sentosa,PT,"Gang Suniaraja No. 77
Surabaya, ST 57904",Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
30,39.000.***.***-***.100,Koperasi Prima Mitra,Firma,"Jl. Medokan Ayu No. 144
Pagaralam, KS 96715",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
31,40.000.***.***-***.100,PD Nusantara Rajawali,UD,"Gang Waringin No. 416
Mataram, KT 41980",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
32,41.000.***.***-***.100,Firma Buana Lestari Niaga,CV,"Jl. Suryakencana No. 600
Probolinggo, BA 14684",Aktif,"{""sector"": ""Kesehatan""}",2026-01-15 14:24:12.231498+00
33,42.000.***.***-***.100,CV Gemilang Mitra,PT Tbk,"Jalan Kutisari Selatan No. 881
Bitung, MA 70842",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
34,43.000.***.***-***.100,PD Usaha Prima,Firma,"Jl. Ahmad Yani No. 009
Bandar Lampung, Bengkulu 79745",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
35,44.000.***.***-***.100,UD Pusaka Mega,UD,"Jl. S. Parman No. 7
Padang Sidempuan, SB 03180",Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
36,45.000.***.***-***.100,PT Tbk Garuda Mitra,CV,"Jl. Rajiman No. 02
Bogor, Kepulauan Bangka Belitung 25543",Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
37,46.000.***.***-***.100,UD Rajawali Makmur Utama,PT,"Gang Suniaraja No. 991
Jayapura, Sumatera Selatan 27983",Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
38,47.000.***.***-***.100,Perum Sentosa Global Mandiri,PT Tbk,"Jalan Cikutra Timur No. 617
Tasikmalaya, KU 66283",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
39,48.000.***.***-***.100,Koperasi Rajawali Indo Permata,PT Tbk,"Jl. Yos Sudarso No. 72
Malang, Aceh 54285",Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
40,49.000.***.***-***.100,CV Mega Sinar Nusantara,CV,"Jalan Dipatiukur No. 9
Magelang, LA 82996",Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
41,50.000.***.***-***.100,PD Pusaka Sentosa,CV,"Jl. Pacuan Kuda No. 7
Bogor, Nusa Tenggara Barat 30251",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
42,51.000.***.***-***.100,UD Garuda Merak Pusaka,PT Tbk,"Gg. Waringin No. 464
Lhokseumawe, Sulawesi Tenggara 43865",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
43,52.000.***.***-***.100,PD Cipta Makmur Intan,UD,"Jalan Yos Sudarso No. 29
Tomohon, SS 01849",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
44,53.000.***.***-***.100,PT Merak Utama,Firma,"Jl. HOS. Cokroaminoto No. 801
Pangkalpinang, SU 74165",Dalam Pemeriksaan,"{""sector"": ""Jasa Keuangan""}",2026-01-15 14:24:12.231498+00
45,54.000.***.***-***.100,Koperasi Permata Pusaka Elang,Firma,"Gang Suniaraja No. 50
Sukabumi, Nusa Tenggara Timur 16032",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
46,55.000.***.***-***.100,PT Cendana Terpadu Lestari,CV,"Gang Dipatiukur No. 59
Palembang, NT 78924",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
47,56.000.***.***-***.100,UD Intan Elang,PT,"Jalan Indragiri No. 1
Tegal, Sulawesi Tengah 26460",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
48,57.000.***.***-***.100,PT Tbk Permata Global,Firma,"Gg. Raya Setiabudhi No. 066
Surakarta, KT 31922",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
49,58.000.***.***-***.100,PT Mandiri Garuda Indo,PT,"Jl. Gedebage Selatan No. 252
Tegal, Sulawesi Utara 71110",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
50,59.000.***.***-***.100,PT Tbk Global Abadi Sinar,Firma,"Jl. Antapani Lama No. 78
Bitung, SG 58321",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
51,60.000.***.***-***.100,PT Tbk Bersama Lestari Elang,PT,"Gg. BKR No. 095
Sukabumi, Papua Barat 71456",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
52,61.000.***.***-***.100,PD Prima Sejahtera Mega,UD,"Gang Rungkut Industri No. 2
Meulaboh, Maluku Utara 53802",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
53,62.000.***.***-***.100,PT Berkah Berlian,CV,"Gang Wonoayu No. 4
Banjarmasin, SB 59611",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
54,63.000.***.***-***.100,Koperasi Sejahtera Sinar,UD,"Jl. Gedebage Selatan No. 3
Malang, GO 16601",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
55,64.000.***.***-***.100,CV Mandiri Intan Usaha,CV,"Gang Raya Ujungberung No. 552
Padang, Sumatera Selatan 75278",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
56,65.000.***.***-***.100,PT Tbk Mandiri Berkah,PT,"Gg. Kiaracondong No. 97
Malang, DKI Jakarta 72284",Non-Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
57,66.000.***.***-***.100,UD Bersama Gemilang,CV,"Gg. Cikutra Barat No. 22
Ambon, BB 71044",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
58,67.000.***.***-***.100,PT Niaga Mitra Berkah,CV,"Jl. Rajawali Timur No. 2
Binjai, Gorontalo 42158",Non-Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
59,68.000.***.***-***.100,PT Indo Prima Merak,PT,"Gang Cikapayang No. 586
Banjar, SU 73400",Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
60,69.000.***.***-***.100,Firma Mega Berlian Mandiri,UD,"Jalan Gegerkalong Hilir No. 983
Tegal, Papua Barat 41571",Dalam Pemeriksaan,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
61,70.000.***.***-***.100,UD Karya Utama,PT Tbk,"Gg. M.T Haryono No. 8
Pangkalpinang, JB 02595",Non-Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
62,71.000.***.***-***.100,PT Abadi Makmur Sejahtera,PT Tbk,"Gg. Cikutra Barat No. 34
Tanjungbalai, JI 38600",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
63,72.000.***.***-***.100,PT Global Indo,PT Tbk,"Gang Pasteur No. 5
Batam, Jambi 72578",Dalam Pemeriksaan,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
64,73.000.***.***-***.100,CV Nusantara Buana Makmur,PT Tbk,"Jalan Cikutra Barat No. 58
Tual, Maluku Utara 10605",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
65,74.000.***.***-***.100,PT Tbk Buana Astra Merak,Firma,"Gang Dipenogoro No. 7
Payakumbuh, Nusa Tenggara Timur 90941",Non-Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
66,75.000.***.***-***.100,PT Tbk Buana Prima Bersama,PT Tbk,"Gang Cikutra Barat No. 52
Pagaralam, Aceh 56547",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
67,76.000.***.***-***.100,Perum Berkah Makmur,UD,"Gang Kebonjati No. 980
Surabaya, Sulawesi Selatan 23302",Non-Aktif,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
68,77.000.***.***-***.100,Perum Permata Sentosa Cendana,PT,"Gang Cempaka No. 062
Pagaralam, Bengkulu 36187",Non-Aktif,"{""sector"": ""Kesehatan""}",2026-01-15 14:24:12.231498+00
69,78.000.***.***-***.100,Firma Cipta Terpadu,UD,"Gang Stasiun Wonokromo No. 496
Cimahi, Sulawesi Tengah 14292",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
70,79.000.***.***-***.100,Firma Mitra Sejahtera,UD,"Jalan Waringin No. 12
Palu, AC 79625",Non-Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
71,80.000.***.***-***.100,PT Tbk Mitra Sejahtera Prima,PT,"Gg. Rawamangun No. 4
Sungai Penuh, Kepulauan Riau 42447",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
72,81.000.***.***-***.100,PT Tbk Cipta Karya,PT Tbk,"Jl. Sukabumi No. 79
Batu, Papua Barat 09255",Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
73,82.000.***.***-***.100,PT Rajawali Mega Global,PT,"Gg. K.H. Wahid Hasyim No. 8
Subulussalam, SU 20456",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
74,83.000.***.***-***.100,Firma Buana Abadi,Firma,"Gg. Kebonjati No. 028
Tual, PA 66649",Aktif,"{""sector"": ""Jasa Keuangan""}",2026-01-15 14:24:12.231498+00
75,84.000.***.***-***.100,PT Tbk Mega Lestari Sinar,PT Tbk,"Gang Kutai No. 479
Sukabumi, JB 66133",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
76,85.000.***.***-***.100,PT Tbk Jaya Makmur Mandiri,CV,"Gang Cihampelas No. 460
Kota Administrasi Jakarta Timur, Sulawesi Selatan 50858",Non-Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
77,86.000.***.***-***.100,Firma Cipta Sejahtera Prima,PT Tbk,"Gg. Jamika No. 3
Sukabumi, Bali 43841",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
78,87.000.***.***-***.100,Perum Prima Makmur,Firma,"Gg. Sukajadi No. 0
Madiun, Kalimantan Barat 61426",Aktif,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
79,88.000.***.***-***.100,Firma Berlian Karya Indo,Firma,"Jl. W.R. Supratman No. 4
Padang, YO 82353",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
80,89.000.***.***-***.100,PT Tbk Abadi Mandiri,CV,"Gg. Veteran No. 88
Metro, Maluku Utara 01523",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
81,90.000.***.***-***.100,PT Tbk Bersama Cipta Permata,PT Tbk,"Jalan Pacuan Kuda No. 7
Pematangsiantar, NT 66952",Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
82,91.000.***.***-***.100,UD Terpadu Gemilang,UD,"Gg. Rajawali Timur No. 3
Semarang, SS 62821",Aktif,"{""sector"": ""Kesehatan""}",2026-01-15 14:24:12.231498+00
83,92.000.***.***-***.100,Perum Mandiri Cendana,CV,"Jl. Raya Setiabudhi No. 64
Sabang, KI 22433",Non-Aktif,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
84,93.000.***.***-***.100,CV Garuda Merak,PT Tbk,"Gang Indragiri No. 54
Kotamobagu, KS 45229",Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
85,94.000.***.***-***.100,PD Cendana Usaha,CV,"Gg. BKR No. 420
Padang Sidempuan, Jawa Tengah 25473",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
86,95.000.***.***-***.100,Firma Terpadu Usaha,CV,"Jl. Abdul Muis No. 713
Sungai Penuh, Sulawesi Selatan 37612",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
87,96.000.***.***-***.100,PT Usaha Intan,CV,"Jalan Jamika No. 2
Sukabumi, Aceh 63560",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
88,97.000.***.***-***.100,Perum Nusantara Karya,PT,"Gang PHH. Mustofa No. 4
Pagaralam, Sumatera Utara 59845",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
89,98.000.***.***-***.100,Firma Berlian Prima Gemilang,Firma,"Gg. KH Amin Jasuta No. 0
Bandar Lampung, JI 85733",Aktif,"{""sector"": ""Jasa Keuangan""}",2026-01-15 14:24:12.231498+00
90,99.000.***.***-***.100,PT Niaga Rajawali Mandiri,UD,"Gg. Jakarta No. 670
Gorontalo, Sumatera Utara 38956",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
91,10.000.***.***-***.101,Koperasi Astra Indo Global,PT Tbk,"Jalan Gegerkalong Hilir No. 7
Sungai Penuh, SB 81506",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
92,11.000.***.***-***.101,Firma Cendana Makmur Niaga,PT,"Gang Suryakencana No. 040
Sungai Penuh, Sulawesi Barat 38752",Non-Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
93,12.000.***.***-***.101,PT Tbk Pusaka Nusantara Global,UD,"Jl. Gegerkalong Hilir No. 8
Meulaboh, Sulawesi Barat 73835",Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
94,13.000.***.***-***.101,UD Mitra Karya Global,UD,"Jl. Gardujati No. 1
Subulussalam, Kalimantan Utara 50734",Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
95,14.000.***.***-***.101,Firma Lestari Bersama Terpadu,PT Tbk,"Gang Dr. Djunjunan No. 559
Palu, PA 64847",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
96,15.000.***.***-***.101,UD Nusantara Berlian Niaga,PT,"Gg. Pasirkoja No. 103
Magelang, KB 15553",Aktif,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
97,16.000.***.***-***.101,PT Tbk Makmur Garuda Indo,CV,"Jalan R.E Martadinata No. 25
Pangkalpinang, Papua Barat 07216",Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
98,17.000.***.***-***.101,PT Berkah Elang Terpadu,PT,"Gg. Stasiun Wonokromo No. 571
Langsa, Bali 40760",Non-Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
99,18.000.***.***-***.101,PT Tbk Usaha Berlian Nusantara,PT Tbk,"Gang Soekarno Hatta No. 01
Lhokseumawe, RI 94943",Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
100,19.000.***.***-***.101,PT Tbk Intan Pusaka Merak,PT,"Jalan Kapten Muslihat No. 0
Purwokerto, Kalimantan Barat 27493",Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
101,20.000.***.***-***.101,UD Terpadu Berlian,UD,"Jalan Erlangga No. 655
Bogor, SU 04007",Aktif,"{""sector"": ""Makanan & Minuman""}",2026-01-15 14:24:12.231498+00
102,21.000.***.***-***.101,PT Tbk Elang Pusaka Intan,UD,"Jl. Jayawijaya No. 216
Solok, Gorontalo 00092",Aktif,"{""sector"": ""Kesehatan""}",2026-01-15 14:24:12.231498+00
103,22.000.***.***-***.101,PD Usaha Merak,PT Tbk,"Jalan Sukabumi No. 446
Malang, JI 51857",Non-Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
104,23.000.***.***-***.101,CV Gemilang Permata,Firma,"Jl. Rajiman No. 19
Banda Aceh, Nusa Tenggara Timur 55056",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
105,24.000.***.***-***.101,Koperasi Utama Permata Global,Firma,"Jalan Suryakencana No. 856
Balikpapan, BT 08937",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
106,25.000.***.***-***.101,Firma Global Terpadu,UD,"Gg. Stasiun Wonokromo No. 271
Kediri, SU 69948",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
107,26.000.***.***-***.101,PT Sinar Prima Mandiri,Firma,"Gg. Raya Ujungberung No. 8
Jayapura, ST 82777",Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
108,27.000.***.***-***.101,Perum Terpadu Garuda Jaya,Firma,"Jl. Raya Ujungberung No. 49
Lhokseumawe, NT 25211",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
109,28.000.***.***-***.101,UD Karya Pusaka,Firma,"Gg. Pasirkoja No. 3
Palopo, KR 46054",Non-Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
110,29.000.***.***-***.101,PT Tbk Rajawali Astra Niaga,UD,"Jalan Pacuan Kuda No. 9
Banda Aceh, Papua 40178",Aktif,"{""sector"": ""Kesehatan""}",2026-01-15 14:24:12.231498+00
111,30.000.***.***-***.101,PT Tbk Makmur Cipta,UD,"Gg. Abdul Muis No. 9
Bogor, Banten 87399",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
112,31.000.***.***-***.101,UD Utama Niaga,PT,"Jalan Dr. Djunjunan No. 93
Padangpanjang, BA 94928",Dalam Pemeriksaan,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
113,32.000.***.***-***.101,PT Tbk Astra Makmur,PT,"Gang Kendalsari No. 08
Subulussalam, Nusa Tenggara Timur 94638",Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
114,33.000.***.***-***.101,PT Tbk Abadi Prima Lestari,CV,"Gg. Moch. Toha No. 196
Bukittinggi, Sulawesi Tengah 72816",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
115,34.000.***.***-***.101,Koperasi Buana Berlian Niaga,UD,"Jalan Kapten Muslihat No. 138
Malang, Jawa Timur 29402",Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
116,35.000.***.***-***.101,Perum Mandiri Sinar Permata,Firma,"Gang Jend. A. Yani No. 7
Tomohon, YO 43170",Dalam Pemeriksaan,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
117,36.000.***.***-***.101,PT Intan Lestari Sinar,CV,"Gang Suryakencana No. 17
Depok, Bengkulu 55910",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
118,37.000.***.***-***.101,PT Tbk Jaya Lestari,PT Tbk,"Gang Kutisari Selatan No. 997
Purwokerto, Kepulauan Bangka Belitung 77851",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
119,38.000.***.***-***.101,PD Makmur Prima,PT,"Jl. Waringin No. 5
Pagaralam, SS 90926",Dalam Pemeriksaan,"{""sector"": ""Transportasi""}",2026-01-15 14:24:12.231498+00
120,39.000.***.***-***.101,Firma Garuda Abadi Usaha,UD,"Gg. K.H. Wahid Hasyim No. 3
Pangkalpinang, Maluku Utara 75607",Non-Aktif,"{""sector"": ""Properti""}",2026-01-15 14:24:12.231498+00
121,40.000.***.***-***.101,Perum Terpadu Mitra Mandiri,Firma,"Jl. Pasteur No. 797
Sorong, MA 17027",Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
122,41.000.***.***-***.101,Perum Nusantara Gemilang,Firma,"Gg. Dipatiukur No. 374
Prabumulih, Aceh 61224",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
123,42.000.***.***-***.101,PD Niaga Mega,CV,"Jalan PHH. Mustofa No. 909
Sawahlunto, SU 59216",Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
124,43.000.***.***-***.101,Perum Mitra Prima,PT,"Jl. Ronggowarsito No. 1
Palembang, Maluku 78009",Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
125,44.000.***.***-***.101,Koperasi Karya Prima,PT,"Jalan Kapten Muslihat No. 9
Bekasi, Gorontalo 70248",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
126,45.000.***.***-***.101,PT Sinar Utama,PT,"Gg. Laswi No. 360
Batu, JI 00789",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
127,46.000.***.***-***.101,Firma Nusantara Utama Pusaka,PT,"Jalan Gardujati No. 22
Serang, KU 45623",Non-Aktif,"{""sector"": ""Pertambangan""}",2026-01-15 14:24:12.231498+00
128,47.000.***.***-***.101,PT Tbk Usaha Sejahtera Indo,PT Tbk,"Gang Dr. Djunjunan No. 206
Mataram, Bali 57431",Aktif,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
129,48.000.***.***-***.101,Koperasi Mitra Global,UD,"Gang Dipenogoro No. 042
Kota Administrasi Jakarta Selatan, Kepulauan Riau 78115",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
130,49.000.***.***-***.101,PT Berlian Jaya,PT,"Jl. W.R. Supratman No. 6
Banda Aceh, JA 39113",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
131,50.000.***.***-***.101,PD Nusantara Mandiri Global,PT,"Gang Dipatiukur No. 780
Banjar, DKI Jakarta 39019",Aktif,"{""sector"": ""Jasa Keuangan""}",2026-01-15 14:24:12.231498+00
