id,from_entity_type,from_entity_id,to_entity_type,to_entity_id,relationship_type,pct,effective_from,effective_to,source,confidence,notes,created_at
38,BENEFICIAL_OWNER,38,TAXPAYER,18803,OWNERSHIP,12.63,2018-09-01,,BO Registry,0.82,,2026-01-15 14:25:59.131361+00
39,BENEFICIAL_OWNER,39,TAXPAYER,1759,OWNERSHIP,56.15,2021-10-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
40,BENEFICIAL_OWNER,40,TAXPAYER,24931,OWNERSHIP,80.24,2022-10-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
41,BENEFICIAL_OWNER,41,TAXPAYER,11400,OWNERSHIP,65.67,2024-02-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
42,BENEFICIAL_OWNER,42,TAXPAYER,10010,OWNERSHIP,35.44,2021-04-01,,BO Registry,0.71,,2026-01-15 14:25:59.131361+00
43,BENEFICIAL_OWNER,43,TAXPAYER,29381,OWNERSHIP,84.31,2024-09-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
44,BENEFICIAL_OWNER,44,TAXPAYER,20882,OWNERSHIP,72.75,2022-02-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
45,BENEFICIAL_OWNER,45,TAXPAYER,14432,OWNERSHIP,54.56,2024-11-01,,BO Registry,0.71,,2026-01-15 14:25:59.131361+00
46,BENEFICIAL_OWNER,46,TAXPAYER,20760,OWNERSHIP,74.74,2021-03-01,,BO Registry,0.72,,2026-01-15 14:25:59.131361+00
47,BENEFICIAL_OWNER,47,TAXPAYER,2279,OWNERSHIP,66.66,2021-11-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
48,BENEFICIAL_OWNER,48,TAXPAYER,21174,OWNERSHIP,43.15,2021-01-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
49,BENEFICIAL_OWNER,49,TAXPAYER,14651,OWNERSHIP,76.40,2024-04-01,,BO Registry,0.80,,2026-01-15 14:25:59.131361+00
50,BENEFICIAL_OWNER,50,TAXPAYER,12836,OWNERSHIP,32.51,2023-06-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
51,BENEFICIAL_OWNER,51,TAXPAYER,9308,OWNERSHIP,59.50,2023-02-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
52,BENEFICIAL_OWNER,52,TAXPAYER,7271,OWNERSHIP,72.76,2021-01-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
53,BENEFICIAL_OWNER,53,TAXPAYER,10124,OWNERSHIP,83.23,2023-02-01,,BO Registry,1.00,,2026-01-15 14:25:59.131361+00
54,BENEFICIAL_OWNER,54,TAXPAYER,26471,OWNERSHIP,90.72,2019-08-01,,BO Registry,0.72,,2026-01-15 14:25:59.131361+00
55,BENEFICIAL_OWNER,55,TAXPAYER,22310,OWNERSHIP,17.81,2024-06-01,,BO Registry,0.97,,2026-01-15 14:25:59.131361+00
56,BENEFICIAL_OWNER,56,TAXPAYER,19463,OWNERSHIP,85.92,2022-11-01,,BO Registry,1.00,,2026-01-15 14:25:59.131361+00
57,BENEFICIAL_OWNER,57,TAXPAYER,19096,OWNERSHIP,49.47,2023-07-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
58,BENEFICIAL_OWNER,58,TAXPAYER,7167,OWNERSHIP,48.43,2023-05-01,,BO Registry,0.91,,2026-01-15 14:25:59.131361+00
59,BENEFICIAL_OWNER,59,TAXPAYER,22014,OWNERSHIP,43.39,2018-02-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
60,BENEFICIAL_OWNER,60,TAXPAYER,18987,OWNERSHIP,82.40,2020-08-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
61,BENEFICIAL_OWNER,61,TAXPAYER,14039,OWNERSHIP,66.13,2023-09-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
62,BENEFICIAL_OWNER,62,TAXPAYER,396,OWNERSHIP,13.04,2023-12-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
63,BENEFICIAL_OWNER,63,TAXPAYER,649,OWNERSHIP,34.37,2023-08-01,,BO Registry,0.77,,2026-01-15 14:25:59.131361+00
64,BENEFICIAL_OWNER,64,TAXPAYER,1591,OWNERSHIP,51.78,2018-04-01,,BO Registry,0.96,,2026-01-15 14:25:59.131361+00
65,BENEFICIAL_OWNER,65,TAXPAYER,4519,OWNERSHIP,8.90,2018-03-01,,BO Registry,0.79,,2026-01-15 14:25:59.131361+00
66,BENEFICIAL_OWNER,66,TAXPAYER,14061,OWNERSHIP,13.61,2022-08-01,,BO Registry,0.86,,2026-01-15 14:25:59.131361+00
67,BENEFICIAL_OWNER,67,TAXPAYER,27087,OWNERSHIP,71.38,2018-07-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
68,BENEFICIAL_OWNER,68,TAXPAYER,28462,OWNERSHIP,36.57,2018-02-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
69,BENEFICIAL_OWNER,69,TAXPAYER,16244,OWNERSHIP,41.19,2020-06-01,,BO Registry,0.81,,2026-01-15 14:25:59.131361+00
70,BENEFICIAL_OWNER,70,TAXPAYER,12141,OWNERSHIP,55.80,2018-09-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
71,BENEFICIAL_OWNER,71,TAXPAYER,436,OWNERSHIP,20.42,2021-05-01,,BO Registry,0.94,,2026-01-15 14:25:59.131361+00
72,BENEFICIAL_OWNER,72,TAXPAYER,9775,OWNERSHIP,75.72,2019-01-01,,BO Registry,0.93,,2026-01-15 14:25:59.131361+00
73,BENEFICIAL_OWNER,73,TAXPAYER,11438,OWNERSHIP,59.36,2024-08-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
74,BENEFICIAL_OWNER,74,TAXPAYER,21080,OWNERSHIP,35.32,2022-09-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
75,BENEFICIAL_OWNER,75,TAXPAYER,29789,OWNERSHIP,86.65,2023-02-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
76,BENEFICIAL_OWNER,76,TAXPAYER,473,OWNERSHIP,25.83,2020-11-01,,BO Registry,0.91,,2026-01-15 14:25:59.131361+00
77,BENEFICIAL_OWNER,77,TAXPAYER,4649,OWNERSHIP,89.54,2024-05-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
78,BENEFICIAL_OWNER,78,TAXPAYER,28294,OWNERSHIP,81.93,2024-02-01,,BO Registry,0.89,,2026-01-15 14:25:59.131361+00
79,BENEFICIAL_OWNER,79,TAXPAYER,9204,OWNERSHIP,53.15,2023-01-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
80,BENEFICIAL_OWNER,80,TAXPAYER,21396,OWNERSHIP,73.98,2021-08-01,,BO Registry,0.92,,2026-01-15 14:25:59.131361+00
81,BENEFICIAL_OWNER,81,TAXPAYER,4950,OWNERSHIP,35.47,2019-04-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
82,BENEFICIAL_OWNER,82,TAXPAYER,24611,OWNERSHIP,38.99,2018-09-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
83,BENEFICIAL_OWNER,83,TAXPAYER,22344,OWNERSHIP,94.65,2018-07-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
84,BENEFICIAL_OWNER,84,TAXPAYER,18351,OWNERSHIP,5.56,2021-10-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
85,BENEFICIAL_OWNER,85,TAXPAYER,1330,OWNERSHIP,52.57,2020-10-01,,BO Registry,0.89,,2026-01-15 14:25:59.131361+00
86,BENEFICIAL_OWNER,86,TAXPAYER,385,OWNERSHIP,56.59,2018-01-01,,BO Registry,0.86,,2026-01-15 14:25:59.131361+00
87,BENEFICIAL_OWNER,87,TAXPAYER,3562,OWNERSHIP,66.99,2021-05-01,,BO Registry,0.70,,2026-01-15 14:25:59.131361+00
88,BENEFICIAL_OWNER,88,TAXPAYER,1246,OWNERSHIP,75.79,2022-05-01,,BO Registry,0.80,,2026-01-15 14:25:59.131361+00
89,BENEFICIAL_OWNER,89,TAXPAYER,6593,OWNERSHIP,10.35,2018-05-01,,BO Registry,0.96,,2026-01-15 14:25:59.131361+00
90,BENEFICIAL_OWNER,90,TAXPAYER,27180,OWNERSHIP,25.38,2021-03-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
91,BENEFICIAL_OWNER,91,TAXPAYER,21485,OWNERSHIP,8.56,2022-10-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
92,BENEFICIAL_OWNER,92,TAXPAYER,26069,OWNERSHIP,27.45,2021-03-01,,BO Registry,0.72,,2026-01-15 14:25:59.131361+00
93,BENEFICIAL_OWNER,93,TAXPAYER,27166,OWNERSHIP,78.60,2018-07-01,,BO Registry,0.87,,2026-01-15 14:25:59.131361+00
94,BENEFICIAL_OWNER,94,TAXPAYER,9740,OWNERSHIP,36.84,2021-04-01,,BO Registry,0.70,,2026-01-15 14:25:59.131361+00
95,BENEFICIAL_OWNER,95,TAXPAYER,27322,OWNERSHIP,17.93,2019-11-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
96,BENEFICIAL_OWNER,96,TAXPAYER,8245,OWNERSHIP,25.09,2022-01-01,,BO Registry,0.93,,2026-01-15 14:25:59.131361+00
97,BENEFICIAL_OWNER,97,TAXPAYER,20535,OWNERSHIP,54.86,2023-08-01,,BO Registry,0.83,,2026-01-15 14:25:59.131361+00
98,BENEFICIAL_OWNER,98,TAXPAYER,28934,OWNERSHIP,41.49,2020-01-01,,BO Registry,0.94,,2026-01-15 14:25:59.131361+00
99,BENEFICIAL_OWNER,99,TAXPAYER,4367,OWNERSHIP,11.93,2019-08-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
100,BENEFICIAL_OWNER,100,TAXPAYER,19979,OWNERSHIP,41.63,2020-09-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
101,BENEFICIAL_OWNER,101,TAXPAYER,8109,OWNERSHIP,41.34,2023-02-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
102,BENEFICIAL_OWNER,102,TAXPAYER,21656,OWNERSHIP,94.14,2020-05-01,,BO Registry,0.93,,2026-01-15 14:25:59.131361+00
103,BENEFICIAL_OWNER,103,TAXPAYER,2787,OWNERSHIP,79.08,2022-07-01,,BO Registry,0.79,,2026-01-15 14:25:59.131361+00
104,BENEFICIAL_OWNER,104,TAXPAYER,19278,OWNERSHIP,16.80,2024-02-01,,BO Registry,0.83,,2026-01-15 14:25:59.131361+00
105,BENEFICIAL_OWNER,105,TAXPAYER,25905,OWNERSHIP,11.17,2020-11-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
106,BENEFICIAL_OWNER,106,TAXPAYER,20289,OWNERSHIP,34.51,2018-09-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
107,BENEFICIAL_OWNER,107,TAXPAYER,7408,OWNERSHIP,20.39,2019-08-01,,BO Registry,0.80,,2026-01-15 14:25:59.131361+00
108,BENEFICIAL_OWNER,108,TAXPAYER,20369,OWNERSHIP,39.83,2019-06-01,,BO Registry,0.94,,2026-01-15 14:25:59.131361+00
109,BENEFICIAL_OWNER,109,TAXPAYER,29577,OWNERSHIP,11.11,2022-09-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
110,BENEFICIAL_OWNER,110,TAXPAYER,1876,OWNERSHIP,5.20,2020-12-01,,BO Registry,0.92,,2026-01-15 14:25:59.131361+00
111,BENEFICIAL_OWNER,111,TAXPAYER,27067,OWNERSHIP,10.42,2024-11-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
112,BENEFICIAL_OWNER,112,TAXPAYER,17051,OWNERSHIP,35.88,2019-09-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
113,BENEFICIAL_OWNER,113,TAXPAYER,19380,OWNERSHIP,60.14,2023-09-01,,BO Registry,0.79,,2026-01-15 14:25:59.131361+00
114,BENEFICIAL_OWNER,114,TAXPAYER,28400,OWNERSHIP,79.98,2018-05-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
115,BENEFICIAL_OWNER,115,TAXPAYER,16599,OWNERSHIP,20.79,2018-04-01,,BO Registry,0.79,,2026-01-15 14:25:59.131361+00
116,BENEFICIAL_OWNER,116,TAXPAYER,29520,OWNERSHIP,85.36,2022-05-01,,BO Registry,0.79,,2026-01-15 14:25:59.131361+00
117,BENEFICIAL_OWNER,117,TAXPAYER,12596,OWNERSHIP,32.59,2023-08-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
118,BENEFICIAL_OWNER,118,TAXPAYER,15840,OWNERSHIP,85.07,2019-11-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
119,BENEFICIAL_OWNER,119,TAXPAYER,3905,OWNERSHIP,71.96,2022-07-01,,BO Registry,0.82,,2026-01-15 14:25:59.131361+00
120,BENEFICIAL_OWNER,120,TAXPAYER,2189,OWNERSHIP,15.28,2018-12-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
121,BENEFICIAL_OWNER,121,TAXPAYER,13211,OWNERSHIP,28.37,2024-01-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
122,BENEFICIAL_OWNER,122,TAXPAYER,7824,OWNERSHIP,18.54,2018-09-01,,BO Registry,0.89,,2026-01-15 14:25:59.131361+00
123,BENEFICIAL_OWNER,123,TAXPAYER,26593,OWNERSHIP,71.19,2019-10-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
124,BENEFICIAL_OWNER,124,TAXPAYER,3642,OWNERSHIP,82.71,2021-10-01,,BO Registry,0.71,,2026-01-15 14:25:59.131361+00
125,BENEFICIAL_OWNER,125,TAXPAYER,20844,OWNERSHIP,31.96,2023-03-01,,BO Registry,0.93,,2026-01-15 14:25:59.131361+00
126,BENEFICIAL_OWNER,126,TAXPAYER,6169,OWNERSHIP,83.28,2023-12-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
127,BENEFICIAL_OWNER,127,TAXPAYER,949,OWNERSHIP,46.13,2019-05-01,,BO Registry,0.71,,2026-01-15 14:25:59.131361+00
128,BENEFICIAL_OWNER,128,TAXPAYER,20156,OWNERSHIP,49.09,2024-02-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
129,BENEFICIAL_OWNER,129,TAXPAYER,7666,OWNERSHIP,49.27,2021-06-01,,BO Registry,0.82,,2026-01-15 14:25:59.131361+00
130,BENEFICIAL_OWNER,130,TAXPAYER,8163,OWNERSHIP,46.22,2023-05-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
131,BENEFICIAL_OWNER,131,TAXPAYER,2214,OWNERSHIP,18.16,2024-04-01,,BO Registry,0.80,,2026-01-15 14:25:59.131361+00
132,BENEFICIAL_OWNER,132,TAXPAYER,26539,OWNERSHIP,70.53,2021-08-01,,BO Registry,0.87,,2026-01-15 14:25:59.131361+00
133,BENEFICIAL_OWNER,133,TAXPAYER,16861,OWNERSHIP,39.96,2023-12-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
134,BENEFICIAL_OWNER,134,TAXPAYER,10136,OWNERSHIP,76.82,2018-04-01,,BO Registry,0.76,,2026-01-15 14:25:59.131361+00
135,BENEFICIAL_OWNER,135,TAXPAYER,4524,OWNERSHIP,54.66,2023-08-01,,BO Registry,1.00,,2026-01-15 14:25:59.131361+00
136,BENEFICIAL_OWNER,136,TAXPAYER,7904,OWNERSHIP,80.11,2022-05-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
137,BENEFICIAL_OWNER,137,TAXPAYER,12938,OWNERSHIP,7.12,2018-04-01,,BO Registry,0.96,,2026-01-15 14:25:59.131361+00
138,BENEFICIAL_OWNER,138,TAXPAYER,26646,OWNERSHIP,81.31,2022-11-01,,BO Registry,0.81,,2026-01-15 14:25:59.131361+00
139,BENEFICIAL_OWNER,139,TAXPAYER,10781,OWNERSHIP,5.19,2023-12-01,,BO Registry,0.88,,2026-01-15 14:25:59.131361+00
140,BENEFICIAL_OWNER,140,TAXPAYER,344,OWNERSHIP,83.56,2018-07-01,,BO Registry,0.71,,2026-01-15 14:25:59.131361+00
141,BENEFICIAL_OWNER,141,TAXPAYER,1572,OWNERSHIP,12.97,2021-02-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
142,BENEFICIAL_OWNER,142,TAXPAYER,12605,OWNERSHIP,45.20,2018-09-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
143,BENEFICIAL_OWNER,143,TAXPAYER,27131,OWNERSHIP,62.58,2020-03-01,,BO Registry,0.82,,2026-01-15 14:25:59.131361+00
144,BENEFICIAL_OWNER,144,TAXPAYER,28142,OWNERSHIP,39.75,2019-08-01,,BO Registry,0.93,,2026-01-15 14:25:59.131361+00
145,BENEFICIAL_OWNER,145,TAXPAYER,27355,OWNERSHIP,56.25,2021-12-01,,BO Registry,0.97,,2026-01-15 14:25:59.131361+00
146,BENEFICIAL_OWNER,146,TAXPAYER,29033,OWNERSHIP,5.53,2023-06-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
147,BENEFICIAL_OWNER,147,TAXPAYER,7267,OWNERSHIP,28.34,2018-06-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
148,BENEFICIAL_OWNER,148,TAXPAYER,29054,OWNERSHIP,78.48,2024-04-01,,BO Registry,0.83,,2026-01-15 14:25:59.131361+00
149,BENEFICIAL_OWNER,149,TAXPAYER,23070,OWNERSHIP,41.30,2019-07-01,,BO Registry,1.00,,2026-01-15 14:25:59.131361+00
150,BENEFICIAL_OWNER,150,TAXPAYER,16100,OWNERSHIP,16.66,2018-06-01,,BO Registry,0.94,,2026-01-15 14:25:59.131361+00
151,BENEFICIAL_OWNER,151,TAXPAYER,19098,OWNERSHIP,85.43,2020-01-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
152,BENEFICIAL_OWNER,152,TAXPAYER,15865,OWNERSHIP,56.86,2018-01-01,,BO Registry,0.91,,2026-01-15 14:25:59.131361+00
153,BENEFICIAL_OWNER,153,TAXPAYER,16030,OWNERSHIP,56.92,2018-08-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
154,BENEFICIAL_OWNER,154,TAXPAYER,435,OWNERSHIP,61.53,2018-03-01,,BO Registry,0.97,,2026-01-15 14:25:59.131361+00
155,BENEFICIAL_OWNER,155,TAXPAYER,1106,OWNERSHIP,83.88,2021-08-01,,BO Registry,0.97,,2026-01-15 14:25:59.131361+00
156,BENEFICIAL_OWNER,156,TAXPAYER,13174,OWNERSHIP,26.06,2021-10-01,,BO Registry,0.96,,2026-01-15 14:25:59.131361+00
157,BENEFICIAL_OWNER,157,TAXPAYER,3084,OWNERSHIP,8.93,2022-03-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
158,BENEFICIAL_OWNER,158,TAXPAYER,5810,OWNERSHIP,78.45,2020-10-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
159,BENEFICIAL_OWNER,159,TAXPAYER,11368,OWNERSHIP,39.70,2018-03-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
160,BENEFICIAL_OWNER,160,TAXPAYER,18881,OWNERSHIP,23.00,2023-11-01,,BO Registry,0.93,,2026-01-15 14:25:59.131361+00
161,BENEFICIAL_OWNER,161,TAXPAYER,24848,OWNERSHIP,26.72,2020-10-01,,BO Registry,0.91,,2026-01-15 14:25:59.131361+00
162,BENEFICIAL_OWNER,162,TAXPAYER,8942,OWNERSHIP,56.34,2023-09-01,,BO Registry,0.88,,2026-01-15 14:25:59.131361+00
163,BENEFICIAL_OWNER,163,TAXPAYER,17701,OWNERSHIP,79.77,2018-03-01,,BO Registry,0.92,,2026-01-15 14:25:59.131361+00
164,BENEFICIAL_OWNER,164,TAXPAYER,29084,OWNERSHIP,60.39,2022-03-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
165,BENEFICIAL_OWNER,165,TAXPAYER,25472,OWNERSHIP,25.68,2019-02-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
166,BENEFICIAL_OWNER,166,TAXPAYER,15922,OWNERSHIP,40.28,2019-08-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
167,BENEFICIAL_OWNER,167,TAXPAYER,15244,OWNERSHIP,7.69,2020-02-01,,BO Registry,0.94,,2026-01-15 14:25:59.131361+00
168,BENEFICIAL_OWNER,168,TAXPAYER,20347,OWNERSHIP,18.62,2024-11-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
169,BENEFICIAL_OWNER,169,TAXPAYER,22312,OWNERSHIP,35.74,2023-10-01,,BO Registry,1.00,,2026-01-15 14:25:59.131361+00
170,BENEFICIAL_OWNER,170,TAXPAYER,28824,OWNERSHIP,61.88,2020-03-01,,BO Registry,0.90,,2026-01-15 14:25:59.131361+00
171,BENEFICIAL_OWNER,171,TAXPAYER,27885,OWNERSHIP,31.34,2023-05-01,,BO Registry,0.82,,2026-01-15 14:25:59.131361+00
172,BENEFICIAL_OWNER,172,TAXPAYER,28741,OWNERSHIP,74.97,2021-10-01,,BO Registry,0.74,,2026-01-15 14:25:59.131361+00
173,BENEFICIAL_OWNER,173,TAXPAYER,305,OWNERSHIP,87.73,2020-12-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
174,BENEFICIAL_OWNER,174,TAXPAYER,26711,OWNERSHIP,61.37,2023-08-01,,BO Registry,0.97,,2026-01-15 14:25:59.131361+00
175,BENEFICIAL_OWNER,175,TAXPAYER,2638,OWNERSHIP,94.09,2020-10-01,,BO Registry,0.94,,2026-01-15 14:25:59.131361+00
